Topic,Count,Name,Representation,Representative_Docs
-1,192,-1_,[''],"['inauguración de la estación olleros .', 'países de la otan suavizan límites para que ucrania use sus armas contra objetivos en rusia .', 'denuncian a álvarez máynez y candidatos de mc por tragedia en mitin de nl .']"
0,62,0_,[''],"['глава мид норвегии эйде: украина имеет право наносить удары по территории россии - обсуждение статьи - 31 мая - 43125500955 - медиаплатформа миртесен .', 'бывшему дознавателю омвд в иванове дали условный срок - обсуждение статьи - 31 мая - 43110719303 - медиаплатформа миртесен .', 'врачи подтвердили, что фицо переведён на домашнее лечение - обсуждение статьи - 31 мая - 43112308193 - медиаплатформа миртесен .']"
1,36,1_,[''],"['aparecen restos de chapopote en costas de playa bagdad en matamoros .', 'sujetos roban y queman boletas electorales en totolapa, chiapas .', 'rescatan en quintana roo a 25 mujeres víctimas de trata .']"
2,28,2_,[''],"['empresário abriu conta conjunta com namorada dias antes da morte .', 'borussia dortmund x real madrid: escalações e onde assistir .', ""ancelotti alerta real madrid para decisão com borussia dortmund: 'final importante e perigosa' .""]"
3,27,3_,[''],"['لولو معاك في العيد.. تردد قناة لولو ""وناسة"" بيبي الجديد عبر النايل سات والعرب سات أغاني العيد مع لولو 2024 - البديل .', 'كـــل مـا يخص تحديث واتساب جي بي لهذا الشهر منفرد في نوعه.. ميزات في الاضافات الاخيرة اتسـابق في معرفتها - البديل .', 'سجلي الان وبسرعة بخطوات سهلة وبسيطة في المنزل.. خطوات التسجيل في منحة المرأة الماكثة في المنزل - البديل .']"
4,25,4_,[''],"['biden campaign admits “very delicate moment” after trump conviction on 34 felonies .', 'opinion | 5 key aspects of the trump trial explained .', ""factcheck: q&a on trump's criminal conviction .""]"
5,18,5_,[''],"['biden anuncia propuesta de acuerdo sobre el alto el fuego en gaza - telecubanacán .', 'titularización en el nivel terciario: convocan a sindicatos para el jueves 6 .', 'asamblea nacional: disponibles para la población dos nuevos proyectos de leyes - telecubanacán .']"
6,17,6_,[''],"[""ricciardo's focus on improving f1 performance, not securing new rb contract ."", 'world rx plans uk street race in 2025 with motofest coventry organisers .', 'mclaren chasing answers to unexpected f1 upgrade success .']"
7,17,7_,[''],"['dakota johnson on set of rom-com materialists with chris evans in ny .', ""president biden lauds 'exceptional' chiefs during team's latest white house visit ."", ""president biden hilariously sports chiefs helmet during team's white house visit .""]"
8,17,8_,[''],"['rattrapée par ses déficits, la france voit sa note souveraine abaissée par s&p .', 'tabac, sodas, alcool: un rapport sénatorial propose des évolutions de la fiscalité .', ""la directive d'expulsion des hôpitaux de la côte-nord était écrite depuis longtemps - le manic .""]"
9,17,9_,[''],"['hochparterre - papierlos zur baubewilligung .', 'hochparterre - ein komplexes thema vermitteln .', 'hochparterre - basler architekturwoche auf der kippe .']"
10,16,10_,[''],"['ಪ್ರತಿಕೂಲ ಹವಾಮಾನ | ಬಿಸಿ ಗಾಳಿಗೆ ತತ್ತರಿಸಿದ ಉತ್ತರ ಭಾರತ; 19 ಸಾವು .', 'nearly 1.9 million fiji water bottles recalled over high levels of bacteria, manganese .', ""jose mourinho 'agrees to become fenerbahce's new manager on a two-year deal' five months after his bitter sacking from roma .""]"
11,15,11_,[''],"['المحافظ يعتمد النتيجة رسميًا ""هنــا"" نتيجة الشهادة الاعدادية محافظة اسيوط 2024 الترم الثاني - البديل .', 'الوزارة تستعد رسميًا .. نتائج الثالث متوسط بالعراق 2024 بعموم المحافظات ! بدء العد التنازلي - البديل .', 'الإجازة قربت .. اجهز واستعد حالًا لـ نتائج الثالث متوسط بالاسم فقط عموم المحافظات في العراق 2024 - البديل .']"
12,13,12_,[''],"['kylian mbappé sería anunciado el próximo lunes como nuevo jugador del real madrid .', 'conozca al multimillonario más joven del mundo, tiene menos de 30 años - eldiario.hn .', 'courtois le gana a lunin la titularidad en la portería del real madrid - entrelineas .']"
